state,age_0_5,age_5_17,age_18_greater,total_enrolments
100000,0,1,217,218
Andaman & Nicobar Islands,109,5,0,114
Andaman and Nicobar Islands,370,27,0,397
Andhra Pradesh,112440,13746,1495,127681
Arunachal Pradesh,1957,2236,151,4344
Assam,141235,66085,22877,230197
Bihar,262875,334802,11908,609585
Chandigarh,2476,211,36,2723
Chhattisgarh,82453,18769,1997,103219
Dadra & Nagar Haveli,22,3,0,25
Dadra and Nagar Haveli,669,71,4,744
Dadra and Nagar Haveli and Daman and Diu,131,21,21,173
Daman & Diu,20,1,0,21
Daman and Diu,107,13,0,120
Delhi,69183,22296,3050,94529
Goa,1916,254,163,2333
Gujarat,193031,71182,16336,280549
Haryana,88042,9110,1100,98252
Himachal Pradesh,16639,661,186,17486
Jammu & Kashmir,133,22,0,155
Jammu And Kashmir,569,344,37,950
Jammu and Kashmir,39837,7656,498,47991
Jharkhand,98551,57539,1449,157539
Karnataka,179262,33863,10110,223235
Kerala,53737,18590,2675,75002
Ladakh,466,133,18,617
Lakshadweep,192,10,1,203
Madhya Pradesh,367990,116381,9599,493970
Maharashtra,278814,82116,8209,369139
Manipur,5140,8053,263,13456
Meghalaya,21179,53305,35287,109771
Mizoram,4136,1295,495,5926
Nagaland,4512,9953,1122,15587
ODISHA,1,0,0,1
Odisha,95882,22216,739,118837
Orissa,3548,601,0,4149
Pondicherry,1193,79,0,1272
Puducherry,1585,116,44,1745
Punjab,61224,12350,3172,76746
Rajasthan,229780,113123,5555,348458
Sikkim,1054,1047,106,2207
Tamil Nadu,182313,37227,1249,220789
Telangana,105918,24505,1151,131574
The Dadra And Nagar Haveli And Daman And Diu,548,141,27,716
Tripura,7376,3654,255,11285
Uttar Pradesh,521045,479682,17902,1018629
Uttarakhand,31880,5479,339,37698
WEST BENGAL,3,1,0,4
WESTBENGAL,1,0,0,1
West  Bengal,9,6,0,15
West Bangal,7,3,0,10
West Bengal,275391,91396,8510,375297
West bengal,6,1,0,7
Westbengal,3,3,0,6
andhra pradesh,5,0,0,5
