state,per_capita_gsdp
Andhra Pradesh,270295.0
Arunachal Pradesh,225770.0
Assam,158807.0
Bihar,66828.0
Chhattisgarh,166520.0
Goa,567344.0
Gujarat,309691.0
Haryana,361993.0
Himachal Pradesh,276943.0
Jharkhand,115960.0
Karnataka,368085.0
Kerala,317723.0
Madhya Pradesh,156381.0
Maharashtra,318560.0
Manipur,125406.0
Meghalaya,156326.0
Mizoram,248908.0
Nagaland,166369.0
Odisha,183767.0
Punjab,227950.0
Rajasthan,187454.0
Sikkim,707181.0
Tamil Nadu,353483.0
Telangana,393385.0
Tripura,198379.0
Uttar Pradesh,107468.0
Uttarakhand,295751.0
West Bengal,171184.0
