state,migration_persons_2011
A. and N. Islands,175
Andhra Pradesh,140
Arunachal Pradesh,143
Assam,158
Bihar,137
Chandigarh,167
Chhattisgarh,150
D. and N. Haveli,154
Daman and Diu,171
Delhi,168
Goa,177
Gujarat,158
Haryana,154
Himachal Pradesh,173
Jammu and Kashmir,140
Jharkhand,143
Karnataka,155
Kerala,188
Lakshadweep,184
Madhya Pradesh,147
Maharashtra,166
Manipur,161
Meghalaya,161
Mizoram,182
Nagaland,165
Odisha,156
Puducherry,169
Punjab,154
Rajasthan,141
Sikkim,168
Tamil Nadu,161
Tripura,179
Uttar Pradesh,141
Uttarakhand,161
West Bengal,157
